,date,open,close,min,max,bullish
0,20000602.0,7266.0,7446.0,7255.0,7470.0,0
1,20000605.0,7446.0,7400.0,7361.0,7455.5,0
2,20000606.0,7420.0,7362.5,7306.0,7475.0,1
3,20000607.0,7320.0,7297.0,7251.5,7334.0,0
4,20000608.0,7334.0,7273.0,7216.0,7398.0,1
5,20000609.0,7298.0,7237.0,7233.0,7364.5,0
6,20000612.0,7280.0,7240.0,7224.0,7320.5,0
7,20000613.0,7236.0,7272.0,7173.0,7315.0,1
8,20000614.0,7295.0,7358.0,7251.0,7379.5,1
9,20000615.0,7348.0,7350.0,7322.0,7391.5,0
10,20000616.0,7378.0,7342.0,7285.5,7425.5,0
11,20000619.0,7270.0,7305.5,7211.0,7309.0,0
12,20000620.0,7316.5,7297.5,7277.5,7347.0,0
13,20000621.0,7280.0,7213.0,7166.0,7318.0,0
14,20000622.0,7225.0,7136.0,7096.0,7250.0,0
15,20000623.0,7135.0,7055.0,7054.5,7156.0,0
16,20000626.0,7050.0,7104.5,7037.0,7163.5,1
17,20000627.0,7110.0,7113.5,7032.0,7138.0,1
18,20000628.0,7138.0,7130.0,7072.0,7141.5,0
19,20000629.0,7120.0,6942.0,6908.0,7120.0,0
20,20000630.0,6975.0,6950.0,6933.5,7020.0,1
21,20000703.0,6970.0,7028.5,6901.0,7028.5,1
22,20000705.0,7019.0,7036.0,7005.0,7154.5,1
23,20000706.0,7015.0,7020.0,6955.0,7042.5,0
24,20000707.0,7041.5,7101.5,6970.0,7116.5,1
25,20000710.0,7124.5,7126.0,7088.0,7188.0,0
26,20000711.0,7110.0,7053.5,7013.5,7121.5,0
27,20000712.0,7086.5,7125.5,7073.0,7159.0,1
28,20000713.0,7121.0,7244.0,7060.0,7248.5,1
29,20000714.0,7251.0,7378.5,7222.0,7398.0,1
30,20000717.0,7405.5,7473.0,7377.5,7480.0,1
31,20000718.0,7445.0,7444.0,7410.0,7510.0,0
32,20000719.0,7444.0,7415.0,7374.0,7450.5,0
33,20000720.0,7382.0,7540.0,7380.0,7545.0,1
34,20000721.0,7531.0,7434.5,7425.0,7549.5,0
35,20000724.0,7405.5,7359.0,7359.0,7480.5,0
36,20000725.0,7351.0,7385.0,7342.5,7407.0,1
37,20000726.0,7396.0,7320.0,7298.5,7405.0,0
38,20000727.0,7319.0,7227.0,7212.5,7378.0,0
39,20000728.0,7231.0,7170.0,7115.0,7271.0,0
40,20000731.0,7170.0,7270.5,7151.0,7297.0,1
41,20000801.0,7271.0,7194.0,7135.5,7276.0,0
42,20000802.0,7215.0,7160.5,7109.0,7241.0,0
43,20000803.0,7116.0,7040.0,6994.0,7135.5,0
44,20000804.0,7071.0,7059.0,7042.0,7145.0,1
45,20000807.0,7085.0,7170.0,7074.0,7174.0,1
46,20000808.0,7155.0,7181.0,7120.0,7229.5,1
47,20000809.0,7209.0,7275.0,7208.0,7300.5,1
48,20000810.0,7250.0,7305.0,7247.0,7345.5,1
49,20000811.0,7300.0,7351.0,7256.0,7362.0,1
50,20000814.0,7371.0,7348.0,7327.0,7399.0,0
51,20000815.0,7394.0,7320.0,7308.0,7404.5,0
52,20000816.0,7340.0,7356.0,7319.5,7393.0,1
53,20000817.0,7355.0,7297.0,7235.0,7363.0,0
54,20000818.0,7299.5,7247.5,7244.0,7349.0,0
55,20000821.0,7275.0,7215.0,7170.5,7275.0,0
56,20000822.0,7235.0,7274.0,7228.5,7311.0,1
57,20000823.0,7280.0,7239.0,7175.0,7280.0,0
58,20000824.0,7300.0,7235.0,7231.0,7300.5,0
59,20000825.0,7265.0,7345.0,7252.0,7357.0,1
60,20000828.0,7356.0,7363.0,7325.5,7419.0,1
61,20000829.0,7342.5,7305.0,7286.0,7346.5,0
62,20000830.0,7292.0,7196.0,7191.0,7294.0,0
63,20000831.0,7214.0,7260.0,7180.0,7268.0,1
64,20000901.0,7242.0,7370.5,7242.0,7412.5,1
65,20000904.0,7375.0,7463.5,7374.0,7468.0,1
66,20000905.0,7458.5,7406.0,7383.0,7458.5,0
67,20000906.0,7400.0,7328.0,7325.0,7446.0,0
68,20000907.0,7307.0,7380.0,7296.5,7394.0,1
69,20000908.0,7388.5,7266.5,7256.0,7400.0,0
70,20000911.0,7259.0,7225.0,7201.5,7278.0,0
71,20000912.0,7185.0,7145.5,7133.0,7207.0,0
72,20000913.0,7148.0,7014.0,6995.5,7169.0,0
73,20000914.0,7030.0,7046.0,7004.0,7098.0,1
74,20000915.0,7040.0,7102.0,6967.5,7163.0,1
75,20000918.0,7030.0,6965.0,6951.0,7062.0,0
76,20000919.0,6955.0,7009.0,6926.5,7010.5,1
77,20000920.0,7036.0,6823.5,6801.0,7044.5,0
78,20000921.0,6878.0,6739.0,6655.5,6888.5,0
79,20000922.0,6565.0,6792.0,6564.5,6806.5,1
80,20000925.0,6845.0,6845.0,6815.0,6895.0,1
81,20000926.0,6824.5,6824.5,6801.0,6915.0,1
82,20000927.0,6794.0,6848.0,6786.0,6932.5,1
83,20000928.0,6862.0,6918.0,6787.5,6920.0,0
84,20000929.0,6898.5,6874.0,6841.5,6956.0,0
85,20001002.0,6845.0,6944.5,6835.5,6977.0,1
86,20001004.0,6925.0,6893.5,6822.5,6961.5,0
87,20001005.0,6909.0,6940.5,6895.5,6978.0,1
88,20001006.0,6960.0,6793.5,6770.0,6987.0,0
89,20001009.0,6797.0,6742.5,6683.0,6818.0,0
90,20001010.0,6774.5,6740.0,6720.0,6791.5,0
91,20001011.0,6660.0,6622.5,6525.5,6701.0,0
92,20001012.0,6650.0,6500.0,6425.0,6705.0,0
93,20001013.0,6470.0,6687.0,6435.0,6700.0,1
94,20001016.0,6740.0,6678.0,6631.5,6744.0,0
95,20001017.0,6675.5,6586.0,6582.5,6722.5,0
96,20001018.0,6544.5,6534.5,6341.0,6569.0,0
97,20001019.0,6560.0,6634.5,6547.5,6672.5,1
98,20001020.0,6676.0,6668.0,6583.5,6707.5,0
99,20001023.0,6693.0,6681.0,6585.5,6697.5,0
100,20001024.0,6687.0,6863.0,6652.0,6884.0,1
101,20001025.0,6806.5,6803.5,6740.0,6855.0,1
102,20001026.0,6780.0,6783.5,6775.0,6899.0,1
103,20001027.0,6890.0,6971.0,6871.5,6977.0,1
104,20001030.0,6959.0,6993.0,6921.0,6998.0,1
105,20001031.0,6999.0,7124.0,6995.0,7136.0,1
106,20001101.0,7132.0,7105.0,7053.5,7144.0,1
107,20001102.0,7117.0,7128.0,7101.0,7184.0,1
